t,x,y,vx,vy,rho,particle_id
0.0,-5.866275184531678,-6.7702906061156565,0.17320594293663194,0.23409799143293736,0.0,0
0.014059444249001712,-5.863839624953356,-6.766998911089957,0.17326004167041031,0.23415594176784105,0.0,0
0.13652451324575549,-5.842592438041068,-6.73829206585327,0.17373195571000682,0.23466101774217532,0.0,0
0.2591312628045834,-5.821262701611017,-6.709490015949873,0.1742056412265986,0.23516719586780754,0.0,0
0.38188167224204983,-5.7998497188901315,-6.680592017885868,0.17468109932757278,0.23567445897339032,0.0,0
0.5047777640734354,-5.778352781864269,-6.651597316671927,0.175158330576389,0.23618278879906776,0.0,0
0.627821605303891,-5.756771171016509,-6.622505145564642,0.17563733496015846,0.23669216594490913,0.0,0
0.7510153087686745,-5.73510415505742,-6.593314725800202,0.17611811185544154,0.23720256981676974,0.0,0
0.8743610345247406,-5.713350990647066,-6.5640252663200895,0.17660065999215957,0.23771397856943538,0.0,0
0.9978609912960759,-5.691510922108397,-6.534635963488543,0.17708497741551077,0.23822636904690242,0.0,0
1.121517437975305,-5.669583181131679,-6.505146000801447,0.17757106144577048,0.23873971671963093,0.0,0
1.2453326851842323,-5.647566986469658,-6.475554548586323,0.17805890863585247,0.23925399561860172,0.0,0
1.3693090968961334,-5.625461543623062,-6.445860763693113,0.1785485147264955,0.2397691782659968,0.0,0
1.4934490921227683,-5.6032660445160865,-6.41606378917537,0.17903987459893392,0.24028523560231022,0.0,0
1.6177551466692588,-5.5809796671614444,-6.386162753961502,0.17953298222489952,0.24080213690968572,0.0,0
1.7422297949601506,-5.558601575314584,-6.356156772515689,0.18002783061379304,0.24131984973126347,0.0,0
1.8668756319401734,-5.53613091811663,-6.326044944488046,0.18052441175685197,0.2418383397863037,0.0,0
1.9916953150534171,-5.5135668297255895,-6.29582635435364,0.18102271656813032,0.2423575708808419,0.0,0
2.116691566304862,-5.490908428935361,-6.265500071039883,0.1815227348220936,0.24287750481361217,0.0,0
2.2418671744084304,-5.468154818782019,-6.235065147541858,0.18202445508761808,0.24339810127695877,0.0,0
2.3672249970259798,-5.445305086136873,-6.204520620525107,0.18252786465816856,0.24391931775243808,0.0,0
2.4927679631019255,-5.422358301285733,-6.173865509915315,0.18303294947791643,0.2444411094007918,0.0,0
2.618499075298459,-5.399313517493807,-6.143098818474409,0.1835396940635381,0.24496342894595244,0.0,0
2.744421412536642,-5.376169770555628,-6.112219531362495,0.18404808142142068,0.24548622655271798,0.0,0
2.8705381326489783,-5.352926078329358,-6.081226615685023,0.1845580929599782,0.24600944969770797,0.0,0
2.996852475149412,-5.329581440254805,-6.050119020024592,0.18506970839676437,0.2465330430331879,0.0,0
3.123367764127089,-5.306134836854443,-6.018895673956719,0.1855829056600427,0.24705694824331845,0.0,0
3.250087411270605,-5.282585229216698,-5.9875554875489,0.1860976607844517,0.2475811038923559,0.0,0
3.377014919029905,-5.258931558460708,-5.9560973508422475,0.18661394780037532,0.24810544526429762,0.0,0
3.504153883923471,-5.235172745181733,-5.9245201333149415,0.18713173861660246,0.24862990419342956,0.0,0
3.631507999998913,-5.211307688876358,-5.892822683326701,0.18765100289582648,0.24915440888519433,0.0,0
3.759081062455639,-5.187335267346566,-5.861003827543452,0.18817170792250276,0.24967888372675706,0.0,0
3.8868769714388423,-5.163254336081712,-5.82906237034128,0.18869381846254774,0.25020324908659985,0.0,0
4.014899736014675,-5.139063727617389,-5.796997093188782,0.18921729661432207,0.2507274211024296,0.0,0
4.143153478337146,-5.1147622508701245,-5.764806754006803,0.18974210165029953,0.2512513114566271,0.0,0
4.271642438018001,-5.090348690446738,-5.732490086504548,0.19026818984877575,0.251774827138412,0.0,0
4.400370976711644,-5.0658218059272055,-5.7000457994909715,0.19079551431492406,0.25229787019183464,0.0,0
4.5293435829279645,-5.041180331119748,-5.667472576160307,0.19132402479044786,0.2528203374486382,0.0,0
4.658564877086905,-5.016422973286799,-5.634769073350509,0.19185366745102356,0.25334212024496305,0.0,0
4.788039616829531,-4.991548412340457,-5.60193392077335,0.19238438469066227,0.25386310412078644,0.0,0
4.9177727026014875,-4.966555300005918,-5.568965720214797,0.19291611489204938,0.2543831685009032,0.0,0
5.047769183525847,-4.941442258951299,-5.535863044704264,0.19344879218184585,0.2549021863561628,0.0,0
5.178034263583643,-4.916207881882193,-5.502624437651198,0.1939823461698531,0.25542002384357376,0.0,0
5.308573308121723,-4.890850730599166,-5.469248411947424,0.19451670167085117,0.2559365399237796,0.0,0
5.439391850709051,-4.8653693350163145,-5.435733449033537,0.19505177840782534,0.2564515859542876,0.0,0
5.570495600364213,-4.839762192138881,-5.402077997927563,0.19558749069518558,0.25696500525670274,0.0,0
5.701890449178603,-4.814027764997819,-5.368280474213956,0.19612374710046943,0.25747663265607634,0.0,0
5.83358248036173,-4.788164481539033,-5.3343392589909495,0.19666045008288785,0.257986293990323,0.0,0
5.965577976737108,-4.762170733464925,-5.300252697774095,0.19719749560693686,0.2584938055874891,0.0,0
6.097883429719539,-4.7360448750256685,-5.266019099353709,0.19773477272913995,0.2589989737084716,0.0,0
6.230505548807021,-4.709785221757534,-5.231636734603832,0.19827216315582358,0.25950159395258166,0.0,0
6.363451271623285,-4.6833900491653475,-5.19710383524012,0.19880954076963647,0.26000145062312474,0.0,0
6.496727774549906,-4.656857591346037,-5.162418592523922,0.1993467711223281,0.2604983160499257,0.0,0
6.6303424839902245,-4.6301860395499785,-5.127579155909653,0.19988371089107274,0.26099194986545954,0.0,0
